EmployeeNumber,Age,AgeBand,Attrition,AttritionFlag,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyPayrollCost,MonthlyRate,HourlyRate,DailyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,EnvironmentSatisfaction,JobSatisfaction,JobInvolvement,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,LastReviewDate,ManagerID,WorkLocation,RemoteWork,ExitReason
649,39,36-45,Yes,1,Travel_Rarely,Research & Development,2,1,Medical,1,Female,4,Research Scientist,Divorced,7448,9321,16484,80,476,8,Yes,17,3,1,2,4,3,80,0,16,5,2,0,0,0,0,2024-08-12,2024-10-19,1075,Oslo,Hybrid,Retirement
650,25,18-25,No,0,Travel_Frequently,Research & Development,19,3,Medical,1,Male,1,Manufacturing Director,Divorced,8843,11603,9158,72,551,0,Yes,21,4,1,2,4,4,80,1,5,2,3,2,0,0,0,2022-12-17,2024-11-08,1050,Stockholm,No,Not applicable
651,39,36-45,No,0,Travel_Frequently,Research & Development,2,2,Medical,1,Female,4,Manufacturing Director,Single,11580,16068,18175,57,177,1,Yes,12,3,2,3,1,3,80,2,17,3,1,0,0,0,0,2024-08-26,2024-03-28,1012,Helsinki,No,Not applicable
652,18,18-25,No,0,Non-Travel,Research & Development,6,3,Medical,1,Female,1,Manager,Married,10687,13454,20137,63,419,6,No,15,3,1,1,1,2,80,0,0,3,3,0,0,0,0,2024-09-16,2024-07-21,1026,Stockholm,Hybrid,Not applicable
653,36,36-45,No,0,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,Laboratory Technician,Divorced,6495,8915,4892,67,288,1,Yes,13,3,2,1,3,1,80,0,14,4,2,6,6,0,2,2018-04-05,2024-05-10,1081,Copenhagen,No,Not applicable
654,34,26-35,No,0,Travel_Rarely,Research & Development,16,3,Other,1,Male,2,Research Scientist,Single,5835,8113,4494,60,268,9,Yes,21,4,4,3,1,4,80,1,11,2,1,8,8,2,1,2016-09-14,2024-07-15,1007,Helsinki,Hybrid,Not applicable
655,43,36-45,No,0,Travel_Rarely,Research & Development,11,1,Medical,1,Male,3,Research Scientist,Married,6261,7942,21360,73,986,0,No,20,3,1,4,3,3,80,0,20,3,4,2,0,0,1,2022-01-28,2024-06-09,1027,Copenhagen,Hybrid,Not applicable
656,40,36-45,No,0,Travel_Rarely,Research & Development,12,1,Life Sciences,1,Female,2,Research Scientist,Married,4889,6074,24951,95,1011,6,Yes,13,4,3,1,2,1,80,1,13,2,4,6,0,5,1,2018-11-12,2024-12-29,1001,Malmo,Full Remote,Not applicable
657,33,26-35,No,0,Travel_Rarely,Research & Development,14,4,Life Sciences,1,Male,2,Research Scientist,Single,5147,6723,13728,68,165,0,No,13,3,2,2,2,2,80,0,13,2,3,13,1,0,2,2011-11-19,2024-12-12,1093,Copenhagen,Hybrid,Not applicable
658,39,36-45,No,0,Travel_Rarely,Research & Development,11,2,Medical,1,Male,3,Healthcare Representative,Divorced,7988,9670,19709,32,249,1,No,23,4,1,4,3,1,80,3,20,1,3,18,3,11,5,2006-08-06,2024-11-09,1080,Malmo,Full Remote,Not applicable
659,38,36-45,Yes,1,Travel_Rarely,Sales,21,4,Medical,1,Male,3,Sales Representative,Married,4099,5386,5781,48,299,5,No,11,3,2,1,4,2,80,1,19,3,3,2,2,2,2,2022-01-29,2024-02-18,1093,Helsinki,No,Retirement
660,31,26-35,No,0,Non-Travel,Research & Development,12,4,Medical,1,Male,2,Research Director,Married,16723,22654,14730,72,960,0,No,19,3,1,4,4,1,80,0,11,3,3,7,0,3,5,2017-09-06,2024-05-14,1035,Copenhagen,Hybrid,Not applicable
661,40,36-45,No,0,Travel_Rarely,Sales,10,1,Life Sciences,1,Male,4,Sales Executive,Single,9294,10987,11240,53,592,3,Yes,13,3,2,4,3,3,80,1,19,4,3,0,0,0,0,2024-08-26,2024-10-03,1028,Copenhagen,Hybrid,Not applicable
662,53,46-55,No,0,Travel_Rarely,Research & Development,11,4,Life Sciences,1,Female,5,Manufacturing Director,Single,14167,17470,6731,73,1483,0,No,14,3,4,1,2,3,80,0,33,6,2,11,0,3,6,2013-07-05,2024-09-30,1029,Stockholm,No,Not applicable
663,41,36-45,Yes,1,Travel_Rarely,Research & Development,29,2,Life Sciences,1,Male,3,Laboratory Technician,Married,3936,5291,21344,52,931,3,Yes,16,3,1,3,1,4,80,1,21,4,4,1,0,0,1,2023-09-17,2024-05-02,1001,Oslo,Full Remote,Manager relationship
664,37,36-45,No,0,Travel_Rarely,Research & Development,12,1,Medical,1,Female,3,Healthcare Representative,Married,8086,10272,8036,73,871,2,No,20,3,2,4,4,1,80,0,18,2,1,0,0,0,0,2024-01-21,2024-08-10,1090,Helsinki,No,Not applicable
665,29,26-35,Yes,1,Travel_Frequently,Research & Development,26,2,Other,1,Male,3,Manufacturing Director,Divorced,11556,15805,5875,67,822,0,Yes,11,3,1,3,3,4,80,1,9,2,3,0,0,0,0,2024-02-22,2024-01-08,1014,Malmo,Hybrid,Career change
666,50,46-55,No,0,Travel_Frequently,Research & Development,1,3,Medical,1,Female,5,Research Scientist,Single,7750,10869,2787,79,1388,1,No,21,3,1,2,2,2,80,1,30,3,1,2,2,0,2,2022-02-13,2024-05-27,1027,Copenhagen,No,Not applicable
667,35,26-35,Yes,1,Travel_Rarely,Sales,21,2,Life Sciences,1,Male,2,Sales Executive,Divorced,7048,9852,6866,61,249,0,Yes,20,3,1,1,2,4,80,1,15,3,3,0,0,0,0,2024-08-22,2024-05-22,1045,Malmo,Hybrid,Relocation
668,32,26-35,No,0,Travel_Rarely,Research & Development,26,3,Life Sciences,1,Male,1,Healthcare Representative,Married,6615,8512,9219,77,230,1,No,17,3,1,3,1,4,80,0,0,2,3,0,0,0,0,2024-04-27,2024-09-29,1036,Copenhagen,Full Remote,Not applicable
669,39,36-45,No,0,Travel_Rarely,Sales,14,2,Marketing,1,Male,2,Sales Representative,Single,3004,3846,14552,98,783,7,No,20,3,1,1,3,4,80,0,9,3,2,2,2,2,1,2022-10-21,2024-01-22,1007,Helsinki,Hybrid,Not applicable
670,47,46-55,No,0,Travel_Rarely,Research & Development,7,3,Life Sciences,1,Male,4,Manufacturing Director,Divorced,10732,14464,25918,30,687,9,Yes,24,4,2,2,2,3,80,1,28,3,4,15,3,3,2,2009-04-28,2024-03-16,1060,Oslo,Hybrid,Not applicable
671,33,26-35,No,0,Travel_Frequently,Research & Development,22,2,Medical,1,Male,2,Healthcare Representative,Divorced,8993,11490,9199,47,1165,2,No,14,3,3,3,1,4,80,0,12,0,4,1,1,1,0,2023-12-31,2024-11-04,1009,Oslo,Full Remote,Not applicable
672,58,56+,No,0,Travel_Rarely,Research & Development,27,4,Medical,1,Male,5,Healthcare Representative,Married,11922,14092,12995,62,1342,2,Yes,17,3,4,1,2,4,80,1,39,3,4,12,1,0,7,2012-05-27,2024-02-29,1018,Stockholm,Hybrid,Not applicable
673,26,26-35,No,0,Non-Travel,Research & Development,19,4,Life Sciences,1,Female,1,Research Scientist,Divorced,4382,5471,22907,38,225,1,No,21,3,1,4,3,1,80,0,0,2,1,0,0,0,0,2024-08-15,2024-08-30,1009,Copenhagen,Hybrid,Not applicable
674,22,18-25,Yes,1,Travel_Rarely,Research & Development,17,1,Life Sciences,1,Male,1,Research Director,Married,17241,22861,7071,89,1445,4,No,15,3,4,3,4,3,80,0,2,2,4,2,0,0,2,2022-02-26,2024-04-06,1089,Malmo,Hybrid,Relocation
675,42,36-45,No,0,Travel_Rarely,Research & Development,14,3,Medical,1,Male,3,Research Scientist,Married,6380,8074,19665,38,1304,4,No,19,3,2,4,1,4,80,1,23,2,1,0,0,0,0,2024-07-18,2024-05-20,1091,Oslo,Hybrid,Not applicable
676,42,36-45,Yes,1,Travel_Rarely,Sales,6,3,Life Sciences,1,Male,2,Sales Representative,Single,3967,5171,8701,50,1046,0,No,23,3,3,3,4,4,80,1,11,3,4,11,2,0,4,2013-06-22,2024-05-25,1076,Malmo,No,Relocation
677,41,36-45,Yes,1,Travel_Frequently,Research & Development,1,3,Medical,1,Male,4,Manager,Single,20000,24156,26902,94,699,1,No,23,3,1,4,2,2,80,1,16,4,4,12,8,12,1,2012-10-31,2024-01-12,1094,Malmo,Hybrid,Manager relationship
678,49,46-55,No,0,Travel_Rarely,Research & Development,5,4,Life Sciences,1,Male,5,Research Scientist,Married,7087,8957,15066,81,1032,1,No,17,3,4,4,1,4,80,1,30,2,1,8,0,7,0,2016-12-14,2024-02-25,1079,Malmo,Hybrid,Not applicable
679,46,46-55,Yes,1,Travel_Frequently,Research & Development,27,4,Life Sciences,1,Male,5,Laboratory Technician,Divorced,6186,8296,15806,36,333,2,No,11,3,2,2,1,1,80,0,26,0,3,1,0,0,1,2023-02-09,2024-03-06,1015,Copenhagen,No,Career change
680,42,36-45,No,0,Travel_Rarely,Research & Development,5,4,Technical Degree,1,Male,4,Manufacturing Director,Married,11717,15429,10262,79,596,4,No,12,4,2,2,3,3,80,0,23,3,2,2,0,2,0,2022-01-04,2024-04-17,1053,Malmo,Hybrid,Not applicable
681,45,36-45,No,0,Travel_Rarely,Research & Development,12,2,Technical Degree,1,Male,3,Manager,Single,17047,20693,19894,80,1460,2,No,21,4,4,2,3,1,80,1,20,3,1,19,3,2,5,2005-08-04,2024-01-25,1049,Copenhagen,No,Not applicable
682,37,36-45,No,0,Travel_Rarely,Sales,21,4,Technical Degree,1,Female,3,Sales Executive,Single,8583,11041,5734,30,734,1,No,20,3,2,1,1,1,80,1,12,3,1,3,3,0,0,2021-04-05,2024-12-09,1023,Gothenburg,Hybrid,Not applicable
683,35,26-35,No,0,Travel_Rarely,Human Resources,24,3,Life Sciences,1,Male,3,Human Resources,Married,5188,6834,17036,62,1037,0,No,23,3,1,1,2,2,80,1,15,6,4,0,0,0,0,2024-07-08,2024-09-10,1010,Stockholm,No,Not applicable
684,31,26-35,No,0,Travel_Rarely,Research & Development,20,2,Life Sciences,1,Male,2,Research Scientist,Single,5018,6039,18228,91,915,1,No,24,3,4,4,3,1,80,0,6,2,1,1,1,1,1,2023-10-30,2024-01-30,1068,Gothenburg,Hybrid,Not applicable
685,45,36-45,No,0,Travel_Rarely,Sales,26,2,Medical,1,Male,5,Sales Representative,Married,5308,6964,22998,98,1347,9,No,13,3,1,2,4,4,80,3,24,2,1,6,0,6,3,2018-08-07,2024-03-09,1075,Copenhagen,Hybrid,Not applicable
686,31,26-35,No,0,Travel_Frequently,Sales,18,1,Life Sciences,1,Male,2,Sales Executive,Married,8938,12591,6557,75,911,1,No,12,4,3,1,4,1,80,0,10,2,4,0,0,0,0,2024-11-15,2024-04-02,1069,Helsinki,No,Not applicable
687,47,46-55,No,0,Travel_Rarely,Sales,9,4,Medical,1,Male,5,Sales Executive,Married,11462,13561,23094,94,901,2,No,21,4,2,1,2,2,80,0,28,1,1,11,0,0,3,2013-12-17,2024-04-23,1036,Oslo,Hybrid,Not applicable
688,26,26-35,No,0,Travel_Rarely,Human Resources,4,4,Medical,1,Female,1,Human Resources,Single,4279,5803,11446,33,768,2,Yes,16,3,2,3,2,4,80,0,6,3,4,6,5,0,1,2018-01-15,2024-11-14,1083,Copenhagen,Hybrid,Not applicable
689,58,56+,No,0,Non-Travel,Research & Development,18,4,Life Sciences,1,Male,5,Laboratory Technician,Married,6686,8365,26294,59,1454,1,No,24,3,3,4,4,4,80,2,36,3,3,12,7,5,0,2012-07-08,2024-01-31,1071,Helsinki,Hybrid,Not applicable
690,42,36-45,No,0,Travel_Frequently,Research & Development,1,1,Medical,1,Male,3,Healthcare Representative,Married,8074,10217,25725,69,753,2,No,22,3,4,2,3,3,80,2,16,6,2,1,1,1,1,2023-07-02,2024-12-15,1077,Oslo,Hybrid,Not applicable
691,46,46-55,Yes,1,Travel_Rarely,Research & Development,2,2,Other,1,Male,4,Research Scientist,Divorced,7777,9838,24170,46,1402,0,No,12,3,3,1,2,1,80,1,27,6,1,9,9,0,2,2015-07-13,2024-12-20,1085,Gothenburg,No,Compensation
692,37,36-45,No,0,Travel_Rarely,Sales,25,4,Medical,1,Male,2,Sales Representative,Married,4180,5081,16225,78,475,0,Yes,15,3,2,3,1,3,80,0,9,2,2,4,3,4,3,2020-07-10,2024-11-05,1089,Stockholm,Hybrid,Not applicable
693,25,18-25,No,0,Travel_Frequently,Research & Development,2,3,Life Sciences,1,Male,1,Research Scientist,Married,4050,5600,15622,88,509,1,No,19,3,3,3,2,4,80,2,2,2,1,2,0,2,2,2022-08-27,2024-06-17,1013,Stockholm,Hybrid,Not applicable
694,30,26-35,No,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Female,1,Healthcare Representative,Single,3900,5009,18189,37,736,3,No,20,3,1,4,2,1,80,0,6,2,4,6,1,0,6,2018-01-04,2024-07-16,1093,Gothenburg,Hybrid,Not applicable
695,24,18-25,Yes,1,Non-Travel,Research & Development,4,4,Medical,1,Male,1,Laboratory Technician,Single,2147,2608,7757,60,319,2,No,15,3,3,1,3,2,80,0,0,2,1,0,0,0,0,2024-10-26,2024-05-04,1047,Helsinki,Hybrid,Work-life balance
696,50,46-55,No,0,Non-Travel,Sales,7,2,Technical Degree,1,Male,4,Sales Representative,Married,6024,8479,17325,46,898,2,No,17,3,1,1,2,4,80,0,28,2,4,0,0,0,0,2024-07-12,2024-11-29,1058,Oslo,Full Remote,Not applicable
697,46,46-55,No,0,Travel_Rarely,Research & Development,27,3,Life Sciences,1,Female,3,Research Scientist,Married,7771,9815,21492,40,864,1,Yes,18,3,4,4,4,1,80,0,20,3,1,0,0,0,0,2024-12-04,2024-08-23,1036,Copenhagen,No,Not applicable
698,37,36-45,No,0,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Male,3,Healthcare Representative,Married,8541,11019,13402,68,1380,2,No,14,3,4,4,1,2,80,0,18,3,1,0,0,0,0,2024-01-03,2024-10-18,1031,Gothenburg,Hybrid,Not applicable
699,50,46-55,No,0,Travel_Rarely,Sales,11,2,Life Sciences,1,Female,3,Sales Executive,Married,10135,13231,25713,82,555,2,Yes,12,3,2,3,2,2,80,1,23,3,1,9,1,8,0,2015-12-31,2024-09-01,1069,Gothenburg,Hybrid,Not applicable
700,27,26-35,No,0,Travel_Rarely,Research & Development,17,1,Life Sciences,1,Female,1,Laboratory Technician,Married,4137,5548,21878,71,313,0,No,24,3,1,1,4,1,80,0,4,3,4,4,4,2,2,2020-05-13,2024-12-28,1068,Stockholm,Hybrid,Not applicable
701,21,18-25,No,0,Travel_Rarely,Research & Development,14,4,Medical,1,Female,2,Research Director,Married,18420,24320,15133,43,375,2,No,23,3,1,2,4,4,80,1,0,2,1,0,0,0,0,2024-06-20,2024-05-20,1070,Oslo,Full Remote,Not applicable
702,44,36-45,No,0,Travel_Rarely,Research & Development,24,2,Life Sciences,1,Male,3,Research Scientist,Divorced,5087,6137,16977,83,298,0,No,21,3,4,4,2,4,80,0,23,2,4,11,4,0,5,2013-10-07,2024-02-15,1086,Stockholm,Hybrid,Not applicable
703,18,18-25,No,0,Travel_Rarely,Human Resources,11,3,Life Sciences,1,Male,2,Manager,Married,13263,17970,24613,40,805,2,No,17,3,2,1,1,3,80,1,0,3,2,0,0,0,0,2024-10-01,2024-10-18,1091,Gothenburg,No,Not applicable
704,33,26-35,Yes,1,Travel_Rarely,Research & Development,22,3,Life Sciences,1,Female,2,Laboratory Technician,Married,2956,4048,25828,96,1443,4,Yes,21,3,1,1,1,4,80,1,13,2,4,8,7,5,0,2016-03-14,2024-05-01,1037,Gothenburg,Hybrid,Relocation
705,40,36-45,No,0,Travel_Rarely,Research & Development,14,1,Human Resources,1,Male,3,Laboratory Technician,Married,5216,6901,14010,75,1018,1,No,13,3,4,2,3,4,80,0,20,3,2,5,2,1,1,2019-06-05,2024-11-09,1054,Gothenburg,No,Not applicable
706,25,18-25,No,0,Travel_Frequently,Research & Development,19,3,Life Sciences,1,Female,1,Research Scientist,Married,4406,5610,24644,54,963,3,No,12,3,1,4,1,4,80,0,6,3,4,4,2,3,3,2020-09-01,2024-11-22,1061,Gothenburg,Full Remote,Not applicable
707,23,18-25,No,0,Travel_Rarely,Research & Development,24,3,Technical Degree,1,Male,1,Research Scientist,Married,3428,4835,13207,43,996,0,Yes,23,3,1,2,4,3,80,1,4,4,2,4,0,3,3,2020-11-28,2024-02-28,1090,Malmo,No,Not applicable
708,46,46-55,No,0,Non-Travel,Research & Development,29,3,Life Sciences,1,Male,4,Laboratory Technician,Divorced,4902,6153,9131,36,1335,1,No,12,3,3,3,3,1,80,1,20,2,2,12,5,9,6,2012-05-09,2024-02-29,1052,Gothenburg,Hybrid,Not applicable
709,39,36-45,No,0,Travel_Rarely,Research & Development,21,3,Life Sciences,1,Male,3,Research Scientist,Married,6103,7890,16050,87,158,0,No,20,3,2,3,1,4,80,1,17,2,4,6,6,2,2,2018-10-26,2024-10-31,1062,Malmo,No,Not applicable
710,43,36-45,No,0,Travel_Frequently,Human Resources,29,3,Life Sciences,1,Male,3,Manager,Divorced,17546,24378,10871,49,1470,0,Yes,19,3,3,1,1,1,80,0,20,3,3,5,5,3,0,2019-12-19,2024-10-12,1089,Copenhagen,No,Not applicable
711,27,26-35,No,0,Travel_Rarely,Research & Development,14,3,Medical,1,Male,1,Healthcare Representative,Married,7355,10159,5058,37,1141,0,Yes,15,3,3,2,1,2,80,0,7,3,4,2,2,2,0,2022-10-03,2024-06-17,1010,Malmo,Full Remote,Not applicable
712,42,36-45,Yes,1,Travel_Rarely,Research & Development,6,4,Medical,1,Female,3,Manufacturing Director,Married,8587,11387,2532,59,725,0,No,24,3,3,2,2,4,80,1,22,1,1,8,2,0,8,2016-02-04,2024-02-12,1020,Stockholm,Hybrid,Work-life balance
713,33,26-35,Yes,1,Travel_Rarely,Research & Development,20,4,Marketing,1,Female,3,Laboratory Technician,Single,7667,10067,13256,32,1021,0,No,17,3,3,1,4,3,80,0,12,3,3,1,0,1,1,2023-07-12,2024-12-20,1074,Oslo,Full Remote,Work-life balance
714,29,26-35,Yes,1,Travel_Frequently,Research & Development,16,4,Technical Degree,1,Male,2,Healthcare Representative,Single,7338,10000,21290,73,661,0,No,19,3,2,3,1,4,80,0,6,1,4,6,6,6,2,2018-04-18,2024-05-12,1028,Copenhagen,Hybrid,Work-life balance
715,36,36-45,No,0,Travel_Rarely,Research & Development,9,4,Life Sciences,1,Male,3,Laboratory Technician,Single,5956,8360,16681,43,789,3,No,15,3,1,3,4,1,80,0,15,3,1,2,1,2,2,2022-07-03,2024-05-31,1056,Malmo,No,Not applicable
716,18,18-25,No,0,Travel_Rarely,Research & Development,10,3,Other,1,Male,1,Laboratory Technician,Married,2152,2947,9514,92,802,0,Yes,17,3,4,3,1,3,80,1,0,2,3,0,0,0,0,2024-10-24,2024-01-02,1034,Gothenburg,Hybrid,Not applicable
717,44,36-45,No,0,Travel_Rarely,Research & Development,28,3,Technical Degree,1,Female,4,Research Scientist,Divorced,7201,9982,3696,79,501,0,No,20,3,2,4,3,1,80,1,21,3,4,4,4,4,0,2020-07-07,2024-09-09,1003,Malmo,Hybrid,Not applicable
718,51,46-55,No,0,Travel_Rarely,Sales,26,3,Life Sciences,1,Female,5,Sales Executive,Married,10912,14657,8923,63,925,0,No,22,3,4,4,1,2,80,0,32,5,4,7,2,0,2,2017-03-03,2024-06-21,1095,Malmo,No,Not applicable
719,40,36-45,No,0,Travel_Rarely,Sales,2,2,Life Sciences,1,Female,4,Sales Executive,Single,11496,14970,20162,92,1115,1,No,11,4,2,4,2,4,80,3,21,2,2,2,0,2,2,2022-04-24,2024-06-23,1079,Copenhagen,Hybrid,Not applicable
720,53,46-55,No,0,Travel_Frequently,Research & Development,29,3,Medical,1,Female,5,Laboratory Technician,Married,6005,7373,4892,39,749,0,Yes,16,3,3,2,1,4,80,1,30,3,4,0,0,0,0,2024-09-17,2024-02-02,1027,Stockholm,Hybrid,Not applicable
721,51,46-55,No,0,Travel_Rarely,Sales,5,5,Marketing,1,Female,5,Sales Executive,Single,11569,16311,10527,89,159,0,Yes,25,3,3,2,2,2,80,1,29,3,4,9,1,5,1,2015-03-18,2024-11-21,1009,Stockholm,Hybrid,Not applicable
722,35,26-35,Yes,1,Travel_Rarely,Research & Development,20,1,Medical,1,Male,2,Healthcare Representative,Married,8758,11696,18748,92,1469,0,No,25,3,4,3,4,4,80,0,13,2,1,7,1,4,0,2017-05-12,2024-03-08,1053,Malmo,Hybrid,Manager relationship
723,44,36-45,No,0,Travel_Rarely,Research & Development,13,3,Life Sciences,1,Male,4,Manufacturing Director,Married,12826,17052,15838,52,418,0,No,15,3,2,1,2,2,80,1,24,0,4,11,0,0,1,2013-12-07,2024-07-03,1009,Stockholm,Hybrid,Not applicable
724,25,18-25,Yes,1,Travel_Frequently,Research & Development,15,4,Marketing,1,Male,1,Research Scientist,Single,4457,5347,26501,82,947,0,No,21,3,3,3,1,1,80,2,5,2,2,2,0,0,2,2022-04-23,2024-04-30,1039,Oslo,No,Career change
725,45,36-45,No,0,Travel_Rarely,Sales,25,4,Marketing,1,Male,4,Sales Representative,Married,6171,8457,4489,51,1234,1,No,21,3,1,4,3,3,80,1,25,3,1,11,0,11,6,2013-07-19,2024-06-30,1067,Stockholm,Hybrid,Not applicable
726,32,26-35,No,0,Non-Travel,Research & Development,18,4,Life Sciences,1,Male,2,Research Scientist,Married,4718,6217,26397,60,206,0,No,16,4,2,3,2,2,80,2,13,3,3,10,1,3,4,2014-11-13,2024-10-04,1009,Gothenburg,No,Not applicable
727,38,36-45,Yes,1,Travel_Rarely,Research & Development,12,2,Marketing,1,Female,3,Research Scientist,Single,5714,7893,16160,60,725,1,Yes,16,3,4,1,1,1,80,0,19,3,4,10,0,4,1,2014-08-02,2024-10-31,1072,Oslo,Hybrid,Retirement
728,45,36-45,No,0,Travel_Rarely,Sales,22,3,Life Sciences,1,Male,5,Sales Executive,Married,11154,15368,6126,49,271,0,Yes,12,4,4,1,1,1,80,0,24,3,2,5,0,2,0,2019-04-23,2024-07-02,1082,Helsinki,No,Not applicable
729,39,36-45,No,0,Travel_Rarely,Research & Development,16,3,Life Sciences,1,Male,2,Manufacturing Director,Single,9524,12014,18165,46,620,0,Yes,18,3,2,4,1,2,80,0,13,3,2,4,0,3,2,2020-03-24,2024-05-08,1016,Oslo,Hybrid,Not applicable
730,33,26-35,No,0,Travel_Rarely,Sales,26,3,Life Sciences,1,Male,3,Sales Executive,Single,8696,11094,21889,73,185,0,No,18,3,1,2,2,3,80,0,13,2,1,12,1,8,12,2012-12-24,2024-08-22,1011,Malmo,Hybrid,Not applicable
731,59,56+,No,0,Travel_Rarely,Research & Development,11,3,Medical,1,Female,5,Manufacturing Director,Divorced,15284,21128,2754,41,300,2,Yes,21,3,4,3,4,2,80,0,38,1,1,3,0,3,0,2021-09-25,2024-03-22,1049,Stockholm,Full Remote,Not applicable
732,51,46-55,No,0,Travel_Rarely,Research & Development,7,2,Other,1,Female,4,Research Scientist,Single,7261,9545,21284,75,290,3,No,16,3,2,3,3,1,80,0,29,3,1,6,6,3,4,2018-06-08,2024-05-03,1028,Malmo,No,Not applicable
733,46,46-55,No,0,Travel_Frequently,Research & Development,17,3,Marketing,1,Male,4,Laboratory Technician,Married,6009,7405,10043,77,529,0,No,11,3,2,2,3,2,80,1,22,3,2,0,0,0,0,2024-04-15,2024-04-12,1044,Gothenburg,Hybrid,Not applicable
734,32,26-35,No,0,Travel_Rarely,Research & Development,9,2,Life Sciences,1,Male,2,Laboratory Technician,Married,4013,4888,18480,92,662,0,Yes,23,3,1,2,3,2,80,3,6,2,1,3,2,3,0,2021-05-13,2024-08-12,1012,Malmo,No,Not applicable
735,25,18-25,No,0,Travel_Frequently,Research & Development,4,3,Life Sciences,1,Male,1,Laboratory Technician,Divorced,2941,3980,3632,56,818,0,No,19,3,3,3,1,3,80,0,0,2,4,0,0,0,0,2024-09-29,2024-11-30,1015,Helsinki,Hybrid,Not applicable
736,33,26-35,No,0,Travel_Rarely,Research & Development,5,2,Medical,1,Female,2,Healthcare Representative,Married,7141,8763,11830,100,110,3,No,11,3,4,1,3,4,80,3,14,4,1,7,3,7,0,2017-07-17,2024-09-10,1057,Oslo,Hybrid,Not applicable
737,52,46-55,No,0,Travel_Rarely,Research & Development,29,3,Medical,1,Female,4,Research Director,Single,20000,26352,5508,49,1186,3,No,22,4,4,2,4,2,80,1,31,2,1,23,7,1,1,2001-07-13,2024-06-05,1057,Malmo,Hybrid,Not applicable
738,30,26-35,No,0,Travel_Frequently,Research & Development,28,1,Medical,1,Male,1,Laboratory Technician,Single,3332,4313,18777,64,690,0,Yes,17,4,2,1,2,4,80,0,5,3,2,5,5,5,5,2020-01-02,2024-05-17,1072,Stockholm,Hybrid,Not applicable
739,50,46-55,Yes,1,Travel_Rarely,Research & Development,3,2,Marketing,1,Male,4,Healthcare Representative,Single,9960,12590,12460,34,1085,2,Yes,18,3,1,4,3,2,80,1,28,3,2,12,2,1,1,2012-07-22,2024-07-29,1093,Copenhagen,Hybrid,Relocation
740,46,46-55,No,0,Travel_Frequently,Research & Development,11,1,Medical,1,Male,3,Manufacturing Director,Single,10095,14213,23084,62,1046,1,Yes,11,3,2,3,1,3,80,0,23,1,2,2,1,2,1,2022-09-07,2024-08-06,1079,Oslo,Hybrid,Not applicable
741,33,26-35,No,0,Travel_Rarely,Research & Development,17,4,Medical,1,Female,2,Healthcare Representative,Single,7320,9999,26571,74,1095,4,Yes,16,3,3,3,4,2,80,0,10,3,3,6,0,2,6,2018-08-02,2024-04-26,1047,Gothenburg,No,Not applicable
742,38,36-45,No,0,Travel_Rarely,Research & Development,25,4,Medical,1,Female,4,Research Scientist,Single,8602,11167,21328,92,602,9,No,22,3,1,4,1,3,80,1,19,2,4,8,4,4,0,2016-11-01,2024-03-22,1045,Malmo,No,Not applicable
743,45,36-45,No,0,Travel_Rarely,Research & Development,4,1,Life Sciences,1,Female,4,Research Scientist,Divorced,5970,7900,19334,70,742,3,Yes,11,3,1,1,4,1,80,1,26,2,4,6,0,2,3,2018-06-14,2024-01-06,1020,Stockholm,Hybrid,Not applicable
744,37,36-45,No,0,Travel_Rarely,Research & Development,22,2,Technical Degree,1,Male,2,Research Scientist,Divorced,5901,8097,5488,54,1353,1,No,23,3,4,1,4,1,80,0,12,2,4,1,1,1,1,2023-08-16,2024-09-25,1007,Helsinki,Full Remote,Not applicable
745,40,36-45,No,0,Travel_Frequently,Research & Development,23,1,Medical,1,Male,3,Manager,Married,19170,24983,13229,53,1470,1,No,24,3,1,1,4,2,80,1,20,2,3,5,5,1,5,2019-05-07,2024-03-04,1034,Malmo,Hybrid,Not applicable
746,50,46-55,No,0,Travel_Rarely,Sales,5,2,Medical,1,Male,3,Sales Executive,Divorced,10763,13866,10654,64,873,3,Yes,17,4,4,1,1,4,80,2,23,4,2,10,1,0,2,2014-01-11,2024-09-13,1024,Copenhagen,Hybrid,Not applicable
747,34,26-35,No,0,Travel_Rarely,Research & Development,23,4,Medical,1,Female,2,Manager,Divorced,14800,18820,6409,51,157,1,Yes,24,3,1,2,4,4,80,1,15,4,3,4,3,4,3,2020-08-22,2024-01-28,1067,Oslo,No,Not applicable
748,37,36-45,No,0,Travel_Frequently,Research & Development,16,1,Medical,1,Female,2,Research Scientist,Single,5728,7337,17819,38,1403,2,No,18,3,4,4,1,2,80,0,4,2,4,2,2,0,0,2022-11-15,2024-04-20,1019,Stockholm,No,Not applicable
